Command	Description
git-stripspace	Remove unnecessary whitespace
git core-tutorial	A Git core tutorial for developers
git credentials	Providing usernames and passwords to Git
git cvs-migration	Git for CVS users
git diffcore	Tweaking diff output
git everyday	A useful minimum set of commands for Everyday Git
git faq	Frequently asked questions about using Git
git glossary	A Git Glossary
git namespaces	Git namespaces
git remote-helpers	Helper programs to interact with remote repositories
git submodules	Mounting one repository inside another
git tutorial	A tutorial introduction to Git
git tutorial-2	A tutorial introduction to Git: part two
git workflows	An overview of recommended workflows with Git
git attributes	Defining attributes per path
git cli	Git command-line interface and conventions
git hooks	Hooks used by Git
git ignore	Specifies intentionally untracked files to ignore
git mailmap	Map author/committer names and/or E-Mail addresses
git modules	Defining submodule properties
git format-bundle	The bundle file format
git format-chunk	Chunk-based file formats
git format-commit-graph	Git commit-graph format
git format-index	Git index format
git format-pack	Git pack format
git format-signature	Git cryptographic signature formats
git protocol-capabilities	Protocol v0 and v1 capabilities
git protocol-common	Things common to various protocols
git protocol-http	Git HTTP-based protocols
git protocol-pack	How packs are transferred over-the-wire
git protocol-v2	Git Wire Protocol, Version 2
git repository-layout	Git Repository Layout
git revisions	Specifying revisions and ranges for Git
cd	Shows and changes the current directory to a new location
ren	Renames files or directories
assoc: fix file associations	Associates an extension to open a program or application
mkdir	Creates subdirectories within the directories
powercgf	Helps detect and troubleshoot battery or power efficiency problems with the device
shutdown	Shut down or restart your computer
systeminfo: system information	View hardware and software-related information of your Windows device
chkdsk	Scans local file system and metadata to find any errors
clip	Instantly copies the output of a command
color	Changes background colour of Command Prompt window
compact	Compress files and folders
copy	Copies files from one location to another
del	Deletes one or multiple files on your computer instantly
erase	Gets rid of specified files
doskey	Shows previously used command prompts
driverquery	Pulls up a list of drivers installed on the device
exit	Exits and closes the current Command Prompt session
pwd	Lists the path to the working directory
ls	List directory contents
ls -a	List contents including hidden files (Files that begin with a dot)
ls -l	List contents with more info including permissions (long listing)
ls -r	List contents reverse order
touch [filename]	Create file
rm [filename]	Remove file
rm -i [filename]	Remove directory, but ask before
rm -r [dirname]	Remove directory
rm -rf [dirname]	Remove directory with contents
rm ./*	Remove everything in the current folder
cp [filename] [dirname]	Copy file
mv [filename] [dirname]	Move file
mv [dirname] [dirname]	Move directory
mv [filename] [filename]	Rename file or folder
mv [filename] [filename] -v	Rename Verbose - print source/destination directory
ipconfig	Displays the network details
netstat	Provides details of active TCP connections
nslookup	Get list of DNS records for a specific domain
arp	Change, delete and show Address Resolution Protocol (ARP) information of the devices
nbtstat	Displays all the current protocol statistics and current TCP/IP connections
net	Find network details and update them
whois	Look up domain details of any website
route	Check and make alterations to the route table of your Windows machine
tar czvf [dirname].tar.gz [dirname]	Create tarball
tar tzvf [dirname]	See what is in the tarball
tar xzvf [dirname].tar.gz	Extract tarball
history	display the history of commands that you have run
docker attach	Attach local standard input, output, and error streams to a running container
docker build	Build an image from a Dockerfile
docker builder	Manage builds
docker checkpoint	Manage checkpoints
docker commit	Create a new image from a container’s changes
docker config	Manage Docker configs
docker container	Manage containers
docker context	Manage contexts
docker cp	Copy files/folders between a container and the local filesystem
docker create	Create a new container
docker diff	Inspect changes to files or directories on a container’s filesystem
docker events	Get real time events from the server
docker exec	Run a command in a running container
docker export	Export a container’s filesystem as a tar archive
docker history	Show the history of an image
docker image	Manage images
docker images	List images
docker import	Import the contents from a tarball to create a filesystem image
docker info	Display system-wide information
docker inspect	Return low-level information on Docker objects
docker kill	Kill one or more running containers
docker load	Load an image from a tar archive or STDIN
docker login	Log in to a Docker registry
docker logout	Log out from a Docker registry
docker logs	Fetch the logs of a container
docker manifest	Manage Docker image manifests and manifest lists
docker network	Manage networks
docker node	Manage Swarm nodes
docker pause	Pause all processes within one or more containers
docker plugin	Manage plugins
docker port	List port mappings or a specific mapping for the container
docker ps	List containers
docker pull	Pull an image or a repository from a registry
docker push	Push an image or a repository to a registry
docker rename	Rename a container
docker restart	Restart one or more containers
docker rm	Remove one or more containers
docker rmi	Remove one or more images
docker run	Run a command in a new container
docker save	Save one or more images to a tar archive (streamed to STDOUT by default)
docker search	Search the Docker Hub for images
docker secret	Manage Docker secrets
docker service	Manage services
docker stack	Manage Docker stacks
docker start	Start one or more stopped containers
docker stats	Display a live stream of container(s) resource usage statistics
docker stop	Stop one or more running containers
docker swarm	Manage Swarm
docker system	Manage Docker
docker tag	Create a tag TARGET_IMAGE that refers to SOURCE_IMAGE
docker top	Display the running processes of a container
docker trust	Manage trust on Docker images
docker unpause	Unpause all processes within one or more containers
docker update	Update configuration of one or more containers
docker version	Show the Docker version information
docker volume	Manage volumes
docker wait	Block until one or more containers stop, then print their exit codes
Conda clean	
Conda clean -a/ --all	Remove index cache, lock files, unused cache packages, tarballs, and logfiles.
Conda clean -i/ --index-cache	Remove index cache.
Conda clean -p/--packages	Remove unused packages from writable package caches. WARNING: This does not check for packages installed using symlinks back to the package cache.
Conda clean -t/ --tarballs	Remove cached package tarballs.
Conda clean -f/--force-pkgs-dirs	RemoveÂ allÂ writable package caches.
Conda clean -c/ --tempfiles	Remove temporary files that could not be deleted earlier due to being in-use.
Conda clean -l/ --logfiles	Remove log files.
Conda clean --json	Report all output as json. Suitable for using conda programmatically.
Conda clean -v/ --verbose	Can be used multiple times. Once for detailed output, twice for INFO logging, thrice for DEBUG logging, four times for TRACE logging.
Conda clean -q/--quiet	Do not display progress bar.
Conda clean -d/--dry-run	Only display what would have been done.
Conda clean -y/ --yes	Sets any confirmation values to 'yes' automatically. Users will not be asked to confirm any adding, deleting, backups, etc.
Conda compare --file	Path to the environment file that is to be compared against.
Conda compare --json	Report all output as json. Suitable for using conda programmatically.
Conda compare -v/ --verbose	Can be used multiple times. Once for detailed output, twice for INFO logging, thrice for DEBUG logging, four times for TRACE logging.
Conda compare -q/ --quiet	Do not display progress bar.
Conda compare -n/ --name	Name of environment.
Conda compare -p/ --prefix	Full path to environment location (i.e. prefix).
Conda config --system	Write to the system .condarc file at '/home/docs/checkouts/readthedocs.org/user_builds/continuumio-conda/envs/stable/.condarc'.
Conda config --env	Write to the active conda environment .condarc file (<no active environment>). If no environment is active, write to the user config file (/home/docs/.condarc).
Conda config --file	Write to the given file
Conda config --show	Display configuration values as calculated and compiled. If no arguments given, show information for all configuration values.
Conda config --show-sources	Display all identified configuration sources.
Conda config --validate	Validate all configuration sources. Iterates over all .condarc files and checks for parsing errors.
Conda config --describe	Describe given configuration parameters. If no arguments given, show information for all configuration parameters.
Conda config --write-default	Write the default configuration to a file. Equivalent toÂ conda config --describe > ~/.condarc.
Conda config --get	Get a configuration value.
Conda config --append	Add one configuration value to the end of a list key.
Conda config --prepend/ --add	Add one configuration value to the beginning of a list key.
Conda config --set	Set a boolean or string key.
Conda config --remove	"Remove a configuration value from a list key.
This removes all instances of the value."
Conda config --remove-key	Remove a configuration key (and all its values).
Conda config --stdin	Apply configuration information given in yaml format piped through stdin.
Conda create	
Conda create --package_spec	List of packages to install or update in the conda environment.
Conda create --clone	Create a new environment as a copy of an existing local environment.
Conda create --file	Read package versions from the given file. Repeated file specifications can be passed (e.g. --file=file1 --file=file2).
Conda create -m/ --mkdir	
Conda create --mkdirÂ is pending deprecation and will be removed in 25.3. Redundant argument.	
Conda create --dev	UseÂ sys.executable -m condaÂ in wrapper scripts instead of CONDA_EXE. This is mainly for use during tests where we test new conda sources against old Python versions.
Conda create -n/ --name	Name of environment.
Conda create -p/ --prefix	Full path to environment location (i.e. prefix).
Conda create -c/ --channel	Additional channel to search for packages.
Conda create --use-local	Use locally built packages. Identical to '-c local'.
Conda create --override-channels	Do not search default or .condarc channels. Requires --channel.
Conda create --repodata-fn	Specify file name of repodata on the remote server where your channels are configured or within local backups.
Conda create --experimental	"Possible choices: jlap, lock,jlap: Download incremental package index data from repodata.jlap; implies 'lock'. lock: use locking when reading, updating index (repodata.json) cache. Now enabled."
Conda create --no-lock	Disable locking when reading, updating index (repodata.json) cache.
Conda create --repodata-use-zst/ --no-repodata-use-zst	Check for/do not check for repodata.json.zst. Enabled by default. (default: Null)
Conda create --subdir/ --platform	Use packages built for this platform. The new environment will be configured to remember this choice.
Conda create --strict-channel-priority	Packages in lower priority channels are not considered if a package with the same name appears in a higher priority channel.
Conda create --no-channel-priority	Package version takes precedence over channel priority. Overrides the value given byÂ conda config --show channel_priority.
Conda create --no-deps	Do not install, update, remove, or change dependencies. This WILL lead to broken environments and inconsistent behavior. Use at your own risk.
Conda create --only-deps	Only install dependencies.
Conda create --no-pin	Ignore pinned file.
Conda create --no-default-packages	Ignore create_default_packages in the .condarc file.
Conda create --solver	"Possible choices: classic, Choose which solver backend to use."
Conda create --copy	Install all packages using copies instead of hard- or soft-linking.
Conda create --no-shortcuts	Don't install start menu shortcuts
Conda create --shortcuts-only	Install shortcuts only for this package name. Can be used several times.
Conda create -C/ --use-index-cache	Use cache of channel index files, even if it has expired. This is useful if you don't want conda to check whether a new version of the repodata file exists, which will save bandwidth.
Conda create -k/ --insecure	"Allow conda to perform ""insecure"" SSL connections and transfers. Equivalent to setting 'ssl_verify' to 'false'."
Conda create --offline	Offline mode. Don't connect to the Internet.
Conda create -d/ --dry-run	Only display what would have been done.
Conda create -y/ --yes	Sets any confirmation values to 'yes' automatically. Users will not be asked to confirm any adding, deleting, backups, etc.
Conda create --download-only	Solve an environment and ensure package caches are populated, but exit prior to unlinking and linking packages into the prefix.
Conda create --show-channel-urls	Show channel urls. Overrides the value given byÂ conda config --show show_channel_urls.
Conda doctor -v/ --verbose	Can be used multiple times. Once for detailed output, twice for INFO logging, thrice for DEBUG logging, four times for TRACE logging.
Conda doctor -n/ --name	Name of environment.
Conda doctor -p/ --prefix	Full path to environment location (i.e. prefix).
Conda env command	Possible choices: config, create, export, list, remove, update
Conda env config	Configure a conda environment.
Conda env config vars	Interact with environment variables associated with Conda environments.	
Conda env config vars list	List environment variables for a conda environment.
Conda env config vars list -n/ --name	Name of environment.
Conda env config vars list -p/ --prefix	Full path to environment location (i.e. prefix).
Conda env config vars set	Set environment variables for a conda environment.
Conda env config vars set -n/ --name	Name of environment.
Conda env config vars set -p/ --prefix	Full path to environment location (i.e. prefix).
Conda env config vars unset	Unset environment variables for a conda environment.
Conda env config vars unset -n/ --name	Name of environment.
Conda env config vars unset -p/ --prefix	Full path to environment location (i.e. prefix).
Conda env create	"Create an environment based on an environment definition file. remote_definition, Remote environment definition / IPython notebook"
Conda env create -f/ --file	Environment definition file (default: environment.yml)
Conda env create --no-default-packages	Ignore create_default_packages in the .condarc file.
Conda env create --solver	"Possible choices: classic,     Choose which solver backend to use."
Conda env create --subdir/ --platform	Use packages built for this platform. The new environment will be configured to remember this choice. Should be formatted like 'osx-64', 'linux-32', 'win-64', and so on. Defaults to the current (native) platform.
Conda env create -n/ --name	Name of environment.
Conda env create -p/ --prefix	Full path to environment location (i.e. prefix).
Conda env create -C/ --use-index-cache	Use cache of channel index files, even if it has expired. This is useful if you don't want conda to check whether a new version of the repodata file exists, which will save bandwidth.
Conda env create -k/ --insecure	"Allow conda to perform ""insecure"" SSL connections and transfers. Equivalent to setting 'ssl_verify' to 'false'."
Conda env create --offline	Offline mode. Don't connect to the Internet.
Conda env create -d/ --dry-run	Only display what would have been done.
Conda env create -y/ --yes	Sets any confirmation values to 'yes' automatically. Users will not be asked to confirm any adding, deleting, backups, etc.
